来源类别,序号,岗位名称,岗位职责,日常工作内容,工作强度,是否经常加班,工作环境,晋升方向,常见单位,考试专业科目,考试内容,推荐指数,一句话总结,原始标题
管理技术岗,011,干事（九级文员以下/及以下，宣传文化方向）,负责宣传教育、新闻报道、理论学习、文化建设、典型宣传及舆论引导等工作。,撰写新闻稿件、运营公众号、制作宣传资料、组织主题教育、拍摄活动照片、策划宣传活动。,★★★★☆,★★★★☆ 大型活动、宣传报道节点、重大节日期间较忙。 工作环境： 办公室办公，经常参加活动拍摄和采访。,,宣传干事 → 宣传部门负责人 → 新闻宣传管理岗位。,军委机关、政治工作部门、军队院校、医院、文工宣传单位。,管理学(1037)、新闻(156)、汉语言文学(143)、政治学(62)、戏剧与影视(20)。,,★★★★★,适合文字功底好、善于策划宣传工作的考生。,011 干事（九级文员以下/及以下，宣传文化方向）
管理技术岗,012,干事（九级文员以下/及以下，人力资源方向）,负责人力资源管理、招聘录用、人员调配、岗位管理、人才培养等工作。,办理人员入职、岗位调整、统计人员信息、制定培训计划、开展绩效考核、维护人事档案。,★★★☆☆,★★★☆☆ 招聘、年度考核期间工作量增加。 工作环境： 机关办公室办公。,,人力资源干事 → 人力资源负责人 → 人事管理岗位。,军队院校、医院、科研院所、机关单位。,管理学(709)、政治学(18)、数学1(14)、汉语言文学(10)、法学(6)。,,★★★★☆,工作规律，适合管理类专业考生。,012 干事（九级文员以下/及以下，人力资源方向）
管理技术岗,013,干事（九级文员以下/及以下，保卫工作方向）,负责单位安全保卫、内部安全管理、消防安全、保密教育及安全检查。,开展安全检查、组织消防演练、处理安全隐患、保密教育、协调警卫工作、制定安全制度。,★★★★☆,★★★☆☆ 重大活动、节假日、安全检查期间较忙。 工作环境： 办公室与现场检查相结合。,,保卫干事 → 保卫部门负责人 → 安全管理岗位。,医院、院校、科研院所、机关单位。,法学(24)、管理学(23)、政治学(2)、教育学(1)。,,★★★★☆,责任较大，需要较强的风险防控意识。,013 干事（九级文员以下/及以下，保卫工作方向）
管理技术岗,014,干事（九级文员以下/及以下，纪检/纪律审查方向）,负责党风廉政建设、纪律监督、作风建设、信访受理及监督检查。,监督制度落实、整理纪检材料、参与专项检查、廉政教育、调查核实相关事项。,★★★★☆,★★★☆☆ 巡视巡察、专项督查期间较忙。 工作环境： 机关办公室办公。,,纪检干事 → 纪检部门负责人 → 纪检监察岗位。,军委机关、战区机关、军兵种机关、院校、医院。,管理学(72)、法学(49)、政治学(3)、汉语言文学(2)、会计学(1)。,,★★★★☆,纪律监督岗位，原则性和保密要求较高。,014 干事（九级文员以下/及以下，纪检/纪律审查方向）
管理技术岗,015,干事（九级文员以下/及以下，老干部工作方向）,负责离退休干部服务保障、政策落实、生活管理及活动组织。,办理待遇落实、组织健康体检、节日慰问、活动策划、协调医疗保障。,★★★☆☆,★★☆☆☆ 整体工作较稳定，节日期间工作增加。 工作环境： 办公室办公，适当外出走访。,,老干部干事 → 老干部工作负责人 → 综合管理岗位。,干休所、医院、军队院校、机关。,管理学(27)、政治学(10)、汉语言文学(7)、教育学(3)、经济学(1)。,,★★★★☆,工作节奏平稳，服务保障属性较强。,015 干事（九级文员以下/及以下，老干部工作方向）
管理技术岗,016,干事（九级文员以下/及以下，新闻文化方向）,负责文化活动策划、新闻宣传、文艺组织、单位品牌建设及精神文明建设。,组织文艺演出、策划主题活动、制作宣传片、管理文化阵地、撰写宣传材料。,★★★★☆,★★★★☆ 大型活动期间工作强度较高。 工作环境： 办公室与活动现场相结合。,,新闻文化干事 → 宣传部门负责人 → 文化宣传管理岗位。,军队院校、医院、机关、宣传文化单位。,管理学(976)、新闻(154)、汉语言文学(139)、政治学(61)、戏剧与影视(20)。,,★★★★☆,兼具宣传与文化建设职能，创意能力要求较高。,016 干事（九级文员以下/及以下，新闻文化方向）
管理技术岗,017,干事（九级文员以下/及以下，教育训练方向）,负责教育培训计划制定、课程组织、培训考核及教育资源管理。,制定培训方案、组织课程实施、统计培训数据、教材管理、培训总结评估。,★★★★☆,★★★☆☆ 培训集中开展期间工作较忙。 工作环境： 办公室、教室、培训场所相结合。,,教育训练干事 → 教育训练负责人 → 教育管理岗位。,军事院校、训练基地、机关、医院。,管理学(5)、体育学(1)、法学(1)、艺术设计(1)、免笔试(1)。,,★★★★★,适合教育类专业和具有培训组织能力的考生。,017 干事（九级文员以下/及以下，教育训练方向）
管理技术岗,018,助理员（九级文员以下/及以下，财务工作方向）,负责经费预算编制、财务报销审核、经费核算、资产登记、票据管理及财务资料整理，为单位财务运行提供保障。,审核报销单据、录入财务系统、编制预算执行表、整理会计凭证、统计经费数据、协助资产盘点、配合审计检查。,★★★☆☆,★★★☆☆ 月末、季度末、年终决算及专项审计期间工作量明显增加。 工作环境： 固定办公室办公，长期使用电脑处理数据和单据。,,财务助理员 → 财务主管 → 财务管理岗位，也可转任会计师等专业技术岗位（符合条件）。,军委机关、联勤保障部队、军队医院、军事院校、科研院所、干休所。,管理学(1783)、会计学(640)、经济学(84)、政治学(8)、审计学(6)。,,★★★★★,管理岗中招聘数量较多，工作稳定，适合财经类专业考生。,018 助理员（九级文员以下/及以下，财务工作方向）
管理技术岗,019,助理员（九级文员以下/及以下，装备保障/装备管理方向）,负责装备台账管理、装备采购计划、装备调拨、维修协调及装备档案管理。,建立装备档案、统计装备数据、跟踪维修进度、办理装备验收、更新资产信息、协调装备保障。,★★★★☆,★★★☆☆ 装备换装、年度盘点及重大保障任务期间较忙。 工作环境： 办公室与装备库房相结合，部分岗位需要现场核查装备。,,装备助理员 → 装备管理负责人 → 装备保障管理岗位。,装备保障部队、联勤保障部队、各军兵种机关、科研院所。,管理学(245)、数学2+物理(22)、数学1(12)、会计学(4)、免笔试(2)。,,★★★★☆,兼顾管理与装备保障，适合理工科背景考生。,019 助理员（九级文员以下/及以下，装备保障/装备管理方向）
管理技术岗,020,助理员（九级文员以下/及以下，营房管理方向）,负责营房建设、营房维护、住房管理、物业协调及营区基础设施保障。,统计营房使用情况、组织维修申请、协调施工单位、检查营区设施、管理住房档案、监督工程进度。,★★★☆☆,★★☆☆☆ 大型维修项目和营区建设期间工作增加。 工作环境： 办公室与营区现场相结合，需要一定现场巡查。,,营房助理员 → 营房管理负责人 → 后勤保障管理岗位。,联勤保障部队、军事院校、医院、机关单位。,管理学(75)、数学2+物理(12)、数学1(1)。,,★★★★☆,后勤保障的重要岗位，工作节奏相对稳定。,020 助理员（九级文员以下/及以下，营房管理方向）
管理技术岗,021,助理员/助理工程师（基建工程管理方向）,负责基建工程立项、施工协调、工程进度管理、工程资料整理及竣工验收。,审核工程资料、组织现场检查、协调施工单位、统计工程进度、办理验收手续、整理工程档案。,★★★★☆,★★★☆☆ 工程建设高峰期和验收阶段工作较忙。 工作环境： 办公室与施工现场相结合。,,基建助理员 → 基建项目负责人 → 工程建设管理岗位。,营房建设单位、军事院校、医院、联勤保障部队。,数学2+物理(917)、数学1(450)、管理学(84)、免笔试(59)、数学3+化学(6)。,,★★★★☆,工程管理岗位，适合建筑类专业考生。,021 助理员/助理工程师（基建工程管理方向）
管理技术岗,022,助理员（九级文员以下/及以下，医疗管理方向）,负责医院行政管理、医疗质量协调、医务统计、医疗资源配置及综合保障。,统计医疗数据、协调门诊住院管理、整理医疗档案、安排医疗会议、协助质量检查、办理医疗行政事务。,★★★☆☆,★★★☆☆ 等级医院评审、专项检查期间工作较忙。 工作环境： 医院行政办公室办公。,,医疗管理助理员 → 医务管理负责人 → 医院行政管理岗位。,军队医院、疗养院、门诊部、医学科研单位。,管理学(292)、护理学(40)、临床医学(38)、药学(5)、数学1(3)。,,★★★★★,医疗管理与行政结合，是医院系统常见管理岗位。,022 助理员（九级文员以下/及以下，医疗管理方向）
管理技术岗,023,助理员（九级文员以下/及以下，采购管理方向）,负责采购计划编制、供应商协调、采购流程办理、合同管理及采购档案整理。,编制采购计划、询价比价、整理采购资料、合同归档、验收入库协调、统计采购数据。,★★★☆☆,★★★☆☆ 集中采购、年度预算执行期间工作较忙。 工作环境： 办公室办公，偶尔参与验收现场工作。,,采购助理员 → 采购主管 → 物资采购管理岗位。,联勤保障部队、医院、院校、科研院所、机关单位。,管理学(277)、经济学(20)、数学1(7)、法学(5)、会计学(4)。,,★★★★☆,采购流程规范，适合细心、责任心强的考生。,023 助理员（九级文员以下/及以下，采购管理方向）
管理技术岗,024,助理员（九级文员以下/及以下，物资管理方向）,负责物资计划、仓储管理、物资调拨、库存统计及资产盘点。,建立物资台账、办理物资出入库、库存盘点、统计消耗数据、协调物资供应、整理物资档案。,★★★☆☆,★★☆☆☆ 年度盘点和重大保障任务期间较忙。 工作环境： 办公室与仓储库房相结合。,,物资助理员 → 物资管理负责人 → 后勤保障管理岗位。,联勤保障部队、仓储单位、医院、院校、机关。,管理学(239)、经济学(20)、法学(5)、数学1(5)、会计学(4)。,,★★★★☆,后勤保障基础岗位，工作稳定、需求较多。,024 助理员（九级文员以下/及以下，物资管理方向）
管理技术岗,025,助理员（九级文员以下/及以下，行政管理方向）,负责机关行政事务、公文流转、会议组织、综合协调、档案管理及日常办公保障。,收发文件、会议通知、办公用品管理、车辆及会议室协调、档案整理、公文登记、领导交办事项落实。,★★★★☆,★★★★☆ 会议保障、专项检查、重大活动期间加班较多。 工作环境： 固定办公室办公，是典型的机关行政岗位。,,行政助理员 → 综合办公室负责人 → 综合行政管理岗位。,军委机关、各级机关、军事院校、医院、科研院所、干休所。,管理学(5212)、会计学(123)、经济学(34)、数学2+物理(22)、数学1(18)。,,★★★★★,管理岗中最常见的岗位之一，综合事务多，对沟通协调和文字能力要求较高。,025 助理员（九级文员以下/及以下，行政管理方向）
管理技术岗,026,医师/主治医师（临床医疗方向）,负责门诊、住院患者诊疗，制定治疗方案，开展疾病诊断、治疗、查房、会诊及急危重症救治，同时承担医学教育、科研及卫勤保障任务。,门诊接诊、病房查房、书写病历、制定治疗方案、参加会诊、值班、参与手术（相关科室）、病例讨论、继续教育培训。,★★★★★,★★★★★ 需轮值夜班、节假日值班，急诊及重大卫勤保障期间工作强度较大。,,住院医师→主治医师→副主任医师→主任医师。,军队总医院、各战区总医院、联勤保障部队医院、特色专科医院、疗养院、军事医学科研单位。,临床医学(12566)、免笔试(1476)、中医学(664)、医学影像技术(13)、医学检验技术(7)。,,★★★★★,军队文职招聘人数最多的专业技术岗位之一，发展空间广，但工作压力较大。,026 医师/主治医师（临床医疗方向）
管理技术岗,027,医师/主治医师（中医医疗方向）,负责中医诊疗、中西医结合治疗、中医康复、针灸推拿及健康管理。,中医门诊、辨证施治、开具中药处方、针灸治疗、康复指导、病历书写、参与会诊。,★★★★☆,★★★★☆ 需值班，节假日及门诊高峰期间工作较忙。,,中医师→主治中医师→副主任中医师→主任中医师。,军队医院、中医院、疗养院、康复中心。,临床医学(1019)、中医学(664)、免笔试(86)。,,★★★★☆,近年来招聘数量持续增长，适合中医学专业考生。,027 医师/主治医师（中医医疗方向）
管理技术岗,028,医师/主治医师（口腔疾病诊疗方向）,负责口腔疾病诊疗、牙体牙髓治疗、修复、正畸、口腔外科等工作。,口腔检查、拔牙、补牙、根管治疗、义齿修复、病例记录、器械消毒管理。,★★★☆☆,★★★☆☆ 一般按门诊时间工作，急诊值班相对较少。,,口腔医师→主治医师→副主任医师→主任医师。,军队医院、口腔专科门诊、疗养院。,临床医学(259)、免笔试(18)。,,★★★★★,工作规律，压力相对较小，是医学岗位中的热门选择。,028 医师/主治医师（口腔疾病诊疗方向）
管理技术岗,029,医师/主治医师（麻醉方向）,负责手术麻醉、危重患者麻醉管理、术后镇痛及生命体征监测。,术前评估、制定麻醉方案、术中监测、术后随访、急救保障。,★★★★★,★★★★★ 随手术安排工作，夜间急诊手术和值班较多。,,麻醉医师→主治医师→副主任医师→主任医师。,军队综合医院、专科医院。,临床医学(286)、免笔试(30)。,,★★★★☆,责任重大，专业性极强，对心理素质要求高。,029 医师/主治医师（麻醉方向）
管理技术岗,030,医师/主治医师（急诊方向）,负责急危重症患者抢救、急诊诊疗、应急医学保障及突发事件医疗救援。,接诊急诊患者、抢救危重病人、急诊会诊、夜班值守、参与应急演练。,★★★★★,★★★★★ 长期倒班，夜班频繁，是医疗岗位中工作强度最高的岗位之一。,,急诊医师→急诊科负责人→高级专业技术岗位。,军队医院、急救中心、联勤保障部队医院。,临床医学(322)、免笔试(9)。,,★★★★☆,压力最大、成长最快的医学岗位之一。,030 医师/主治医师（急诊方向）
管理技术岗,031,医师/主治医师（外科方向）,负责外科疾病诊断、手术治疗、术后管理及患者康复。,门诊、查房、手术、病历书写、术后随访、值班。,★★★★★,★★★★★ 手术时间不固定，急诊手术和值班较多。,,外科医师→主治医师→副主任医师→主任医师。,军队医院、专科医院。,临床医学(1442)、免笔试(171)、中医学(9)。,,★★★★★,技术要求高，职业发展空间大。,031 医师/主治医师（外科方向）
管理技术岗,032,医师/主治医师（内科方向）,负责内科疾病诊断、治疗、慢病管理及住院患者管理。,门诊接诊、病房查房、病历书写、会诊、值班、患者健康教育。,★★★★☆,★★★★☆ 住院病区和值班期间工作量较大。,,内科医师→主治医师→副主任医师→主任医师。,军队医院、疗养院、门诊部。,临床医学(2340)、免笔试(500)、中医学(45)。,,★★★★★,需求稳定，几乎所有军队医院都有招聘。,032 医师/主治医师（内科方向）
管理技术岗,033,医师/主治医师（妇产科方向）,负责妇科及产科疾病诊疗、孕产妇管理、手术及分娩保障。,门诊、住院管理、手术、接生、查房、值班。,★★★★★,★★★★★ 分娩具有突发性，夜班和值班较多。,,妇产科医师→主治医师→副主任医师→主任医师。,军队医院、妇幼医疗机构。,临床医学(302)、免笔试(44)、中医学(3)。,,★★★★☆,责任重大，适合妇产医学专业考生。,033 医师/主治医师（妇产科方向）
管理技术岗,034,医师/主治医师（儿科方向）,负责儿童疾病诊断、治疗、生长发育评估及健康管理。,门诊、查房、会诊、值班、健康指导、病例管理。,★★★★★,★★★★★ 夜班和值班较多，门诊高峰期工作压力较大。,,儿科医师→主治医师→副主任医师→主任医师。,军队医院、综合医院。,临床医学(296)、免笔试(42)、中医学(15)。,,★★★★☆,专业要求高，需要较强的沟通能力和耐心。,034 医师/主治医师（儿科方向）
管理技术岗,035,医师/主治医师（全科医疗方向）,负责常见病、多发病诊疗、健康管理、慢病随访及基层医疗保障。,门诊接诊、健康体检、慢病管理、疾病预防宣传、患者随访。,★★★☆☆,★★★☆☆ 整体工作较规律，部分岗位需要值班。,,全科医师→主治医师→副主任医师→主任医师。,军队门诊部、干休所、基层医疗机构、疗养院。,临床医学(1513)、免笔试(59)、中医学(5)。,,★★★★☆,基层医疗保障的重要岗位，工作相对稳定。,035 医师/主治医师（全科医疗方向）
管理技术岗,036,医师/主治医师（皮肤科方向）,负责皮肤病、性传播疾病及常见皮肤问题的诊断、治疗和预防，开展皮肤健康管理及相关医学咨询。,门诊接诊、皮肤检查、制定治疗方案、开展激光及物理治疗（部分岗位）、病历书写、病例随访、参与会诊。,★★★☆☆,★★☆☆☆ 门诊工作为主，急诊较少，整体工作规律。,,皮肤科医师 → 主治医师 → 副主任医师 → 主任医师。,军队医院、疗养院、门诊部。,临床医学(155)、免笔试(49)、中医学(6)。,,★★★★☆,工作节奏相对稳定，是医学岗位中压力较小的专业之一。,036 医师/主治医师（皮肤科方向）
管理技术岗,037,医师/主治医师（肿瘤科方向）,负责肿瘤患者诊断、化疗、靶向治疗、综合治疗及长期随访管理。,门诊接诊、住院管理、制定治疗方案、参加MDT会诊、患者随访、病例讨论。,★★★★☆,★★★★☆ 住院管理和会诊较多，部分岗位需夜间值班。,,肿瘤科医师 → 主治医师 → 副主任医师 → 主任医师。,军队总医院、肿瘤专科医院、综合医院。,临床医学(228)、免笔试(86)。,,★★★★☆,专业性强，需要持续学习最新诊疗技术。,037 医师/主治医师（肿瘤科方向）
管理技术岗,038,药师/主管药师,负责药品采购、验收、储存、调剂、临床药学服务及合理用药指导。,药品发放、处方审核、库存管理、药品质量检查、药学咨询、临床查房（临床药师岗位）。,★★★☆☆,★★★☆☆ 大型医院药房和值班岗位需轮班，部分医院设夜班。,,药师 → 主管药师 → 副主任药师 → 主任药师。,军队医院、疗养院、医学科研单位。,药学(721)、中药学(56)、免笔试(42)、数学3+化学(9)、临床医学(2)。,,★★★★★,军队医院长期招聘岗位，工作稳定，适合药学专业考生。,038 药师/主管药师
管理技术岗,039,技师/主管技师（医学检验方向）,负责血液、生化、免疫、微生物等医学检验，为临床提供检验数据支持。,样本接收、仪器检测、数据审核、质量控制、设备维护、检验报告出具。,★★★★☆,★★★★☆ 大型医院一般实行轮班和值班制度。,,检验技师 → 主管技师 → 副主任技师 → 主任技师。,军队医院、疾控机构、医学实验室。,医学检验技术(710)、临床医学(93)、免笔试(42)、医学影像技术(9)、数学3+化学(4)。,,★★★★★,医学技术岗位代表之一，招聘数量稳定。,039 技师/主管技师（医学检验方向）
管理技术岗,040,技师/主管技师（放射技术方向）,负责X线、CT等放射设备操作、患者检查及影像采集。,患者检查、设备操作、图像采集、设备维护、影像资料管理。,★★★★☆,★★★★☆ 急诊检查和值班较多，部分医院实行轮班制。,,放射技师 → 主管技师 → 副主任技师 → 主任技师。,军队医院、体检中心、医学影像中心。,医学影像技术(200)、临床医学(63)、免笔试(19)、数学1(6)、数学2+物理(5)。,,★★★★☆,设备操作要求高，影像技术应用广泛。,040 技师/主管技师（放射技术方向）
管理技术岗,041,技师/主管技师（医学影像方向）,负责CT、MRI、DR等大型医学影像设备操作及检查质量控制。,患者摆位、设备操作、影像采集、图像处理、设备维护、资料归档。,★★★★☆,★★★★☆ 急诊检查和值班较为常见。,,影像技师 → 主管技师 → 副主任技师 → 主任技师。,军队医院、影像中心、疗养院。,医学影像技术(555)、临床医学(130)、医学检验技术(19)、免笔试(14)、数学2+物理(2)。,,★★★★★,医学影像需求持续增长，是热门医技岗位。,041 技师/主管技师（医学影像方向）
管理技术岗,042,技师/主管技师（病理技术方向）,负责病理标本处理、切片制作、染色、病理检测及实验室质量控制。,标本接收、组织脱水、切片制作、显微镜观察辅助、实验室管理。,★★★☆☆,★★☆☆☆ 工作时间相对规律，夜班较少。,,病理技师 → 主管技师 → 副主任技师 → 主任技师。,军队医院、病理中心、医学实验室。,医学检验技术(56)、临床医学(25)、免笔试(6)。,,★★★★☆,幕后医学岗位，专业性强，工作节奏稳定。,042 技师/主管技师（病理技术方向）
管理技术岗,043,技师/主管技师（康复医学与理疗方向）,负责患者运动康复、神经康复、骨科康复及功能训练。,康复评估、制定康复计划、指导训练、物理治疗、康复记录、患者随访。,★★★☆☆,★★☆☆☆ 以白班为主，整体工作较规律。,,康复治疗师 → 康复主管 → 康复中心负责人。,军队医院、疗养院、康复中心。,临床医学(958)、中医学(344)、免笔试(81)、体育(15)、体育学(8)。,,★★★★★,近年来招聘增长较快，适合康复专业毕业生。,043 技师/主管技师（康复医学与理疗方向）
管理技术岗,044,医师/主治医师（营养方向）,负责患者营养评估、营养治疗方案制定、膳食指导及健康管理。,营养门诊、制定食谱、病区会诊、营养宣教、特殊饮食管理。,★★☆☆☆,★★☆☆☆ 正常行政班较多，值班较少。,,营养医师 → 高级营养医师 → 营养科负责人。,军队医院、疗养院、健康管理中心。,临床医学(66)、免笔试(8)、中医学(1)。,,★★★★☆,工作规律，适合营养学及食品相关专业考生。,044 医师/主治医师（营养方向）
管理技术岗,045,医师/主治医师（心理医疗或心理服务方向）,负责心理咨询、心理评估、心理治疗、心理危机干预及心理健康教育。,开展心理咨询、组织心理测评、团体辅导、心理档案管理、参与应激干预。,★★★☆☆,★★★☆☆ 重大任务、应急事件期间工作增加。,,心理医师 → 心理治疗专家 → 心理中心负责人。,军队医院、军事院校、心理服务中心、科研单位。,临床医学(867)、免笔试(37)、教育学(19)、管理学(3)、数学1(3)。,,★★★★★,近年来需求不断增加，是发展较快的新兴专业岗位。,045 医师/主治医师（心理医疗或心理服务方向）
管理技术岗,046,医师（疾病预防控制方向）,负责疾病预防控制、传染病监测、公共卫生管理、卫生防疫及流行病学调查。,疫情监测、健康体检、卫生监督、流调分析、防疫演练、健康宣教。,★★★★☆,★★★★☆ 重大公共卫生事件、疫情防控期间工作强度显著增加。,,疾控医师 → 公共卫生负责人 → 疾病预防控制管理岗位。,军队疾病预防控制机构、军队医院、联勤保障部队、防疫单位。,临床医学(449)、免笔试(24)、生物化学+动物生理学(3)、医学检验技术(2)、中医学(1)。,,★★★★☆,公共卫生保障的重要岗位，应急任务较多。,046 医师（疾病预防控制方向）
管理技术岗,047,护师/主管护师（临床护理方向）,负责住院患者护理、病情观察、医嘱执行、健康宣教、护理文书书写及基础护理工作。,执行医嘱、输液、采血、换药、巡视病房、监测生命体征、护理记录、患者健康宣教、协助医生抢救患者。,★★★★★,★★★★★ 实行24小时轮班制度，夜班、节假日值班较为普遍，遇到抢救任务可能延长工作时间。,,护士 → 护师 → 主管护师 → 副主任护师 → 主任护师。,军队总医院、联勤保障部队医院、专科医院、疗养院。,护理学(3179)、免笔试(10)、临床医学(1)。,,★★★★★,招聘人数最多的护理岗位，适合护理专业毕业生，稳定但工作强度较高。,047 护师/主管护师（临床护理方向）
管理技术岗,048,护师/主管护师（重症/ICU护理方向）,负责重症监护患者护理、生命支持设备管理、危重患者抢救配合及病情监测。,监护生命体征、管理呼吸机及监护设备、执行抢救医嘱、护理记录、危重患者护理。,★★★★★,★★★★★ 实行24小时轮班，夜班频繁，抢救任务期间工作压力极大。,,ICU护士 → 护师 → ICU护士长 → 护理部管理岗位。,军队综合医院、重症医学中心。,护理学(203)。,,★★★★☆,护理岗位中工作强度最高，对专业能力要求极高。,048 护师/主管护师（重症/ICU护理方向）
